#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
273057,1452661,SSO_RS12725,SSO_RS12725,SSO2622,-,-,-,hotdog fold thioesterase,protein-coding,-,-,-,hotdog fold thioesterase,20210424,-
273057,1454072,SSO_RS05095,SSO_RS05095,SSO1030,-,-,-,SDR family oxidoreductase,protein-coding,-,-,-,SDR family oxidoreductase,20210308,-
273057,1454073,SSO_RS05100,SSO_RS05100,SSO1031,-,-,-,extracellular solute-binding protein,protein-coding,-,-,-,extracellular solute-binding protein,20210417,-
273057,1454074,SSO_RS05105,SSO_RS05105,SSO1032,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210308,-
273057,1454075,SSO_RS05110,SSO_RS05110,SSO1033,-,-,-,fibronectin type III domain-containing protein,protein-coding,-,-,-,fibronectin type III domain-containing protein,20210308,-
273057,1454076,SSO_RS05115,SSO_RS05115,SSO1034,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210308,-
273057,1454077,SSO_RS05120,SSO_RS05120,SSO1035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1454079,SSO_RS05140,SSO_RS05140,SSO1038,-,-,-,serine/threonine protein kinase,protein-coding,-,-,-,serine/threonine protein kinase,20210308,-
273057,1454080,SSO_RS05145,SSO_RS05145,SSO1039,-,-,-,CCA tRNA nucleotidyltransferase,protein-coding,-,-,-,CCA tRNA nucleotidyltransferase,20210417,-
273057,1454081,thpR,SSO_RS05150,SSO1040,-,-,-,"RNA 2',3'-cyclic phosphodiesterase",protein-coding,-,-,-,"RNA 2',3'-cyclic phosphodiesterase",20210417,-
273057,1454082,SSO_RS05155,SSO_RS05155,SSO1041,-,-,-,nucleoside monophosphate kinase,protein-coding,-,-,-,nucleoside monophosphate kinase,20210417,-
273057,1454083,SSO_RS05160,SSO_RS05160,SSO1042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1454084,rnz,SSO_RS05165,SSO1043,-,-,-,ribonuclease Z,protein-coding,-,-,-,ribonuclease Z,20210417,-
273057,1454085,SSO_RS05170,SSO_RS05170,SSO1044,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210417,-
273057,1454086,SSO_RS05175,SSO_RS05175,SSO1045,-,-,-,ribose-phosphate pyrophosphokinase,protein-coding,-,-,-,ribose-phosphate pyrophosphokinase,20210417,-
273057,1454087,SSO_RS05180,SSO_RS05180,SSO1046,-,-,-,ATP/GTP-binding protein,protein-coding,-,-,-,ATP/GTP-binding protein,20210417,-
273057,1454088,SSO_RS05185,SSO_RS05185,SSO1047,-,-,-,DNA polymerase sliding clamp,protein-coding,-,-,-,DNA polymerase sliding clamp,20210417,-
273057,1454089,priS,SSO_RS05190,SSO1048,-,-,-,DNA primase small subunit PriS,protein-coding,-,-,-,DNA primase small subunit PriS,20210417,-
273057,1454090,SSO_RS05195,SSO_RS05195,SSO1049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1454091,SSO_RS05200,SSO_RS05200,SSO7111,-,-,-,50S ribosomal protein L44e,protein-coding,-,-,-,50S ribosomal protein L44e,20210308,-
273057,1454092,SSO_RS05205,SSO_RS05205,SSO7114,-,-,-,30S ribosomal protein S27e,protein-coding,-,-,-,30S ribosomal protein S27e,20210308,-
273057,1454093,SSO_RS05210,SSO_RS05210,SSO1050,-,-,-,translation initiation factor IF-2 subunit alpha,protein-coding,-,-,-,translation initiation factor IF-2 subunit alpha,20210308,-
273057,1454094,SSO_RS05215,SSO_RS05215,SSO7115,-,-,-,RNA-protein complex protein Nop10,protein-coding,-,-,-,RNA-protein complex protein Nop10,20210417,-
273057,1454095,SSO_RS05220,SSO_RS05220,SSO1052,-,-,-,peptide transporter,protein-coding,-,-,-,peptide transporter,20210417,-
273057,1454097,SSO_RS05230,SSO_RS05230,SSO1054,-,-,-,ammonium transporter,protein-coding,-,-,-,ammonium transporter,20210308,-
273057,1454098,SSO_RS05240,SSO_RS05240,SSO1055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1454099,SSO_RS05245,SSO_RS05245,SSO1056,-,-,-,OsmC family protein,protein-coding,-,-,-,OsmC family protein,20210308,-
273057,1454100,SSO_RS05250,SSO_RS05250,SSO1057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1454101,SSO_RS05255,SSO_RS05255,SSO1059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1454102,SSO_RS05260,SSO_RS05260,SSO1060,-,-,-,pseudo,pseudo,-,-,-,-,20210308,-
273057,1454103,SSO_RS05265,SSO_RS05265,SSO1061,-,-,-,glycine cleavage system protein H,protein-coding,-,-,-,glycine cleavage system protein H,20210308,-
273057,1454104,SSO_RS05270,SSO_RS05270,SSO1062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
273057,1454105,SSO_RS05280,SSO_RS05280,SSO1063,-,-,-,FAD-binding oxidoreductase,protein-coding,-,-,-,FAD-binding oxidoreductase,20210417,-
273057,1454106,purE,SSO_RS05285,SSO1064,-,-,-,5-(carboxyamino)imidazole ribonucleotide mutase,protein-coding,-,-,-,5-(carboxyamino)imidazole ribonucleotide mutase,20210308,-
273057,1454107,purK,SSO_RS05290,SSO1065,-,-,-,5-(carboxyamino)imidazole ribonucleotide synthase,protein-coding,-,-,-,5-(carboxyamino)imidazole ribonucleotide synthase,20210417,-
273057,1454108,SSO_RS05295,SSO_RS05295,SSO1066,-,-,-,LysR family transcriptional regulator,protein-coding,-,-,-,LysR family transcriptional regulator,20210308,-
273057,1454109,SSO_RS05300,SSO_RS05300,SSO1067,-,-,-,type 1 glutamine amidotransferase,protein-coding,-,-,-,type 1 glutamine amidotransferase,20210417,-
273057,1454111,SSO_RS05305,SSO_RS05305,SSO1069,-,-,-,amino acid permease,protein-coding,-,-,-,amino acid permease,20210308,-
273057,1454112,SSO_RS05310,SSO_RS05310,SSO1070,-,-,-,pseudo,pseudo,-,-,-,-,20210308,-
273057,1454113,SSO_RS05320,SSO_RS05320,SSO1072,-,-,-,transposase,protein-coding,-,-,-,transposase,20210417,-
273057,1454114,SSO_RS05325,SSO_RS05325,SSO1073,-,-,-,IS607 family transposase,protein-coding,-,-,-,IS607 family transposase,20210308,-
273057,1454115,SSO_RS05335,SSO_RS05335,SSO1074,-,-,-,DsbA family protein,protein-coding,-,-,-,DsbA family protein,20210308,-
273057,1454116,SSO_RS05340,SSO_RS05340,SSO1075,-,-,-,CBS domain-containing protein,protein-coding,-,-,-,CBS domain-containing protein,20210417,-
273057,1454117,SSO_RS05345,SSO_RS05345,SSO1076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1454118,SSO_RS05350,SSO_RS05350,SSO1077,-,-,-,fumarate hydratase,protein-coding,-,-,-,fumarate hydratase,20210308,-
273057,1454119,SSO_RS05355,SSO_RS05355,SSO1078,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210308,-
273057,1454120,SSO_RS05360,SSO_RS05360,SSO1079,-,-,-,COG1361 S-layer family protein,protein-coding,-,-,-,COG1361 S-layer family protein,20210308,-
273057,1454121,SSO_RS05365,SSO_RS05365,SSO1080,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210612,-
273057,1454122,SSO_RS05370,SSO_RS05370,SSO1082,-,-,-,MarR family transcriptional regulator,protein-coding,-,-,-,MarR family transcriptional regulator,20210417,-
273057,1454123,SSO_RS05375,SSO_RS05375,SSO1083,-,-,-,CoA transferase subunit A,protein-coding,-,-,-,CoA transferase subunit A,20210424,-
273057,1454124,SSO_RS05380,SSO_RS05380,SSO1085,-,-,-,CoA-transferase subunit beta,protein-coding,-,-,-,CoA-transferase subunit beta,20210308,-
273057,1454125,SSO_RS05385,SSO_RS05385,SSO1086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1454126,SSO_RS05390,SSO_RS05390,SSO1087,-,-,-,tRNA (guanine-N1)-methyltransferase,protein-coding,-,-,-,tRNA (guanine-N1)-methyltransferase,20210308,-
273057,1454127,SSO_RS05395,SSO_RS05395,SSO1089,-,-,-,VWA domain-containing protein,protein-coding,-,-,-,VWA domain-containing protein,20210417,-
273057,1454128,SSO_RS05400,SSO_RS05400,SSO1088,-,-,-,zinc-ribbon and FHA domain-containing protein,protein-coding,-,-,-,zinc-ribbon and FHA domain-containing protein,20210417,-
273057,1454129,SSO_RS05405,SSO_RS05405,SSO1090,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210417,-
273057,1454130,SSO_RS05410,SSO_RS05410,SSO1091,-,-,-,VWA domain-containing protein,protein-coding,-,-,-,VWA domain-containing protein,20210417,-
273057,1454131,SSO_RS05415,SSO_RS05415,SSO1092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1454132,SSO_RS05420,SSO_RS05420,SSO1093,-,-,-,ribonuclease E/G,protein-coding,-,-,-,ribonuclease E/G,20210417,-
273057,1454133,acnA,SSO_RS05425,SSO1095,-,-,-,aconitate hydratase AcnA,protein-coding,-,-,-,aconitate hydratase AcnA,20210417,-
273057,1454134,SSO_RS05430,SSO_RS05430,SSO1096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1454135,SSO_RS05435,SSO_RS05435,SSO1098,-,-,-,DUF2258 domain-containing protein,protein-coding,-,-,-,DUF2258 domain-containing protein,20210417,-
273057,1454136,SSO_RS05445,SSO_RS05445,SSO1100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1454137,SSO_RS05455,SSO_RS05455,SSO1101,-,-,-,MarR family transcriptional regulator,protein-coding,-,-,-,MarR family transcriptional regulator,20210417,-
273057,1454139,SSO_RS05465,SSO_RS05465,SSO1103,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210417,-
273057,1454140,SSO_RS05470,SSO_RS05470,SSO1104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1454141,SSO_RS05475,SSO_RS05475,SSO1105,-,-,-,glycine cleavage system protein H,protein-coding,-,-,-,glycine cleavage system protein H,20210308,-
273057,1454142,SSO_RS05480,SSO_RS05480,SSO1106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1454143,SSO_RS05485,SSO_RS05485,SSO1107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1454144,SSO_RS05490,SSO_RS05490,SSO1108,-,-,-,MarR family transcriptional regulator,protein-coding,-,-,-,MarR family transcriptional regulator,20210417,-
273057,1454145,SSO_RS05495,SSO_RS05495,SSO1109,-,-,-,sulfurtransferase TusA family protein,protein-coding,-,-,-,sulfurtransferase TusA family protein,20210308,-
273057,1454146,SSO_RS05500,SSO_RS05500,SSO1110,-,-,-,MarR family transcriptional regulator,protein-coding,-,-,-,MarR family transcriptional regulator,20210417,-
273057,1454147,SSO_RS05505,SSO_RS05505,SSO1111,-,-,-,CoA-binding protein,protein-coding,-,-,-,CoA-binding protein,20210308,-
273057,1454148,SSO_RS05510,SSO_RS05510,SSO1112,-,-,-,lipoate--protein ligase family protein,protein-coding,-,-,-,lipoate--protein ligase family protein,20210308,-
273057,1454149,SSO_RS05515,SSO_RS05515,SSO1114,-,-,-,radical SAM protein,protein-coding,-,-,-,radical SAM protein,20210417,-
273057,1454150,SSO_RS05520,SSO_RS05520,SSO1115,-,-,-,radical SAM protein,protein-coding,-,-,-,radical SAM protein,20210417,-
273057,1454151,SSO_RS05525,SSO_RS05525,SSO1116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
273057,1454152,SSO_RS05530,SSO_RS05530,SSO1117,-,-,-,histone deacetylase family protein,protein-coding,-,-,-,histone deacetylase family protein,20210308,-
273057,1454153,SSO_RS05535,SSO_RS05535,SSO1119,-,-,-,DUF1641 domain-containing protein,protein-coding,-,-,-,DUF1641 domain-containing protein,20210417,-
273057,1454154,SSO_RS05540,SSO_RS05540,SSO1118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
273057,1454155,SSO_RS05545,SSO_RS05545,SSO1120,-,-,-,pseudo,pseudo,-,-,-,-,20210308,-
273057,1454156,SSO_RS05550,SSO_RS05550,SSO1121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1454157,SSO_RS05555,SSO_RS05555,SSO1123,-,-,-,NAD(P)/FAD-dependent oxidoreductase,protein-coding,-,-,-,NAD(P)/FAD-dependent oxidoreductase,20210417,-
273057,1454158,SSO_RS05560,SSO_RS05560,SSO1125,-,-,-,DsrE family protein,protein-coding,-,-,-,DsrE family protein,20210308,-
273057,1454159,SSO_RS05565,SSO_RS05565,SSO1126,-,-,-,DsrE/DsrF/DrsH-like family protein,protein-coding,-,-,-,DsrE/DsrF/DrsH-like family protein,20210308,-
273057,1454160,SSO_RS05570,SSO_RS05570,SSO7239,-,-,-,sulfurtransferase TusA family protein,protein-coding,-,-,-,sulfurtransferase TusA family protein,20210308,-
273057,1454161,SSO_RS05575,SSO_RS05575,SSO1127,-,-,-,4Fe-4S dicluster domain-containing protein,protein-coding,-,-,-,4Fe-4S dicluster domain-containing protein,20210417,-
273057,1454162,SSO_RS05580,SSO_RS05580,SSO1129,-,-,-,heterodisulfide reductase subunit B,protein-coding,-,-,-,heterodisulfide reductase subunit B,20210417,-
273057,1454163,SSO_RS05585,SSO_RS05585,SSO1131,-,-,-,CoB--CoM heterodisulfide reductase iron-sulfur subunit A family protein,protein-coding,-,-,-,CoB--CoM heterodisulfide reductase iron-sulfur subunit A family protein,20210417,-
273057,1454164,SSO_RS05590,SSO_RS05590,SSO1133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1454165,SSO_RS05595,SSO_RS05595,SSO1134,-,-,-,4Fe-4S dicluster domain-containing protein,protein-coding,-,-,-,4Fe-4S dicluster domain-containing protein,20210417,-
273057,1454166,SSO_RS05600,SSO_RS05600,SSO1135,-,-,-,CoB--CoM heterodisulfide reductase iron-sulfur subunit B family protein,protein-coding,-,-,-,CoB--CoM heterodisulfide reductase iron-sulfur subunit B family protein,20210417,-
273057,1454167,SSO_RS05605,SSO_RS05605,SSO1136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1454168,SSO_RS05610,SSO_RS05610,SSO1137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1454169,SSO_RS05615,SSO_RS05615,SSO1138,-,-,-,cation:proton antiporter,protein-coding,-,-,-,cation:proton antiporter,20210308,-
273057,1454170,SSO_RS05620,SSO_RS05620,SSO1140,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210308,-
273057,1454171,SSO_RS05625,SSO_RS05625,SSO1141,-,-,-,S8 family serine peptidase,protein-coding,-,-,-,S8 family serine peptidase,20210308,-
273057,1454172,SSO_RS05630,SSO_RS05630,SSO1142,-,-,-,OFA family MFS transporter,protein-coding,-,-,-,OFA family MFS transporter,20210308,-
273057,1454173,SSO_RS05635,SSO_RS05635,SSO1143,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210308,-
273057,1454174,SSO_RS05640,SSO_RS05640,SSO1144,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210308,-
273057,1454175,SSO_RS05645,SSO_RS05645,SSO1145,-,-,-,TrpB-like pyridoxal phosphate-dependent enzyme,protein-coding,-,-,-,TrpB-like pyridoxal phosphate-dependent enzyme,20210308,-
273057,1454178,SSO_RS05655,SSO_RS05655,SSO1148,-,-,-,amidinotransferase,protein-coding,-,-,-,amidinotransferase,20210308,-
273057,1454179,SSO_RS05660,SSO_RS05660,SSO1149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1454180,SSO_RS05670,SSO_RS05670,SSO1150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1454181,SSO_RS05675,SSO_RS05675,SSO1151,-,-,-,TldD/PmbA family protein,protein-coding,-,-,-,TldD/PmbA family protein,20210308,-
273057,1454182,SSO_RS05680,SSO_RS05680,SSO1152,-,-,-,TldD/PmbA family protein,protein-coding,-,-,-,TldD/PmbA family protein,20210308,-
273057,1454183,SSO_RS05685,SSO_RS05685,SSO1153,-,-,-,acyl-CoA dehydrogenase family protein,protein-coding,-,-,-,acyl-CoA dehydrogenase family protein,20210417,-
273057,1454184,SSO_RS05690,SSO_RS05690,SSO1154,-,-,-,MaoC family dehydratase,protein-coding,-,-,-,MaoC family dehydratase,20210308,-
273057,1454185,SSO_RS05695,SSO_RS05695,SSO1155,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20210417,-
273057,1454186,SSO_RS05700,SSO_RS05700,SSO1156,-,-,-,acyl-CoA/acyl-ACP dehydrogenase,protein-coding,-,-,-,acyl-CoA/acyl-ACP dehydrogenase,20210308,-
273057,1454187,SSO_RS05705,SSO_RS05705,SSO1157,-,-,-,MBL fold metallo-hydrolase,protein-coding,-,-,-,MBL fold metallo-hydrolase,20210417,-
273057,1454188,SSO_RS05710,SSO_RS05710,SSO1159,-,-,-,haloacid dehalogenase type II,protein-coding,-,-,-,haloacid dehalogenase type II,20210417,-
273057,1454189,SSO_RS05715,SSO_RS05715,SSO1160,-,-,-,nucleotidyltransferase domain-containing protein,protein-coding,-,-,-,nucleotidyltransferase domain-containing protein,20210308,-
273057,1454190,SSO_RS05720,SSO_RS05720,SSO1161,-,-,-,HEPN domain-containing protein,protein-coding,-,-,-,HEPN domain-containing protein,20210308,-
273057,1454191,SSO_RS05725,SSO_RS05725,SSO1162,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210417,-
273057,1454192,SSO_RS05730,SSO_RS05730,SSO1163,-,-,-,glycoside hydrolase family 15 protein,protein-coding,-,-,-,glycoside hydrolase family 15 protein,20210308,-
273057,1454193,SSO_RS05735,SSO_RS05735,SSO1164,-,-,-,IS256-like element ISC1250 family transposase,protein-coding,-,-,-,IS256-like element ISC1250 family transposase,20210308,-
273057,1454194,SSO_RS05740,SSO_RS05740,SSO1167,-,-,-,glycoside hydrolase family 15 protein,protein-coding,-,-,-,glycoside hydrolase family 15 protein,20210308,-
273057,1454195,SSO_RS05745,SSO_RS05745,SSO1168,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210417,-
273057,1454196,SSO_RS05750,SSO_RS05750,SSO1169,-,-,-,sugar ABC transporter permease,protein-coding,-,-,-,sugar ABC transporter permease,20210417,-
273057,1454197,SSO_RS05755,SSO_RS05755,SSO1170,-,-,-,sugar ABC transporter permease,protein-coding,-,-,-,sugar ABC transporter permease,20210417,-
273057,1454198,SSO_RS05760,SSO_RS05760,SSO1171,-,-,-,extracellular solute-binding protein,protein-coding,-,-,-,extracellular solute-binding protein,20210417,-
273057,1454199,SSO_RS05765,SSO_RS05765,SSO1172,-,-,-,glycoside hydrolase,protein-coding,-,-,-,glycoside hydrolase,20210417,-
273057,1454200,SSO_RS05770,SSO_RS05770,SSO1173,-,-,-,APC family permease,protein-coding,-,-,-,APC family permease,20210308,-
273057,1454201,SSO_RS05775,SSO_RS05775,SSO1174,-,-,-,sodium:calcium antiporter,protein-coding,-,-,-,sodium:calcium antiporter,20210417,-
273057,1454202,SSO_RS05780,SSO_RS05780,SSO1175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1454203,SSO_RS05785,SSO_RS05785,SSO1176,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210308,-
273057,1454204,SSO_RS05790,SSO_RS05790,SSO1177,-,-,-,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,protein-coding,-,-,-,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,20210417,-
273057,1454205,SSO_RS05800,SSO_RS05800,SSO1178,-,-,-,class I SAM-dependent methyltransferase,protein-coding,-,-,-,class I SAM-dependent methyltransferase,20210417,-
273057,1454206,SSO_RS05805,SSO_RS05805,SSO7348,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210417,-
273057,1454209,SSO_RS05820,SSO_RS05820,SSO1181,-,-,-,IS607 family transposase,protein-coding,-,-,-,IS607 family transposase,20210417,-
273057,1454210,SSO_RS05825,SSO_RS05825,SSO1182,-,-,-,transposase,protein-coding,-,-,-,transposase,20210417,-
273057,1454211,SSO_RS05830,SSO_RS05830,SSO1183,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210417,-
273057,1454212,SSO_RS05835,SSO_RS05835,SSO1184,-,-,-,cysteine hydrolase,protein-coding,-,-,-,cysteine hydrolase,20210308,-
273057,1454213,SSO_RS05840,SSO_RS05840,SSO1185,-,-,-,DUF973 family protein,protein-coding,-,-,-,DUF973 family protein,20210417,-
273057,1454214,SSO_RS05845,SSO_RS05845,SSO1186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1454215,SSO_RS05855,SSO_RS05855,SSO1187,-,-,-,transposase,protein-coding,-,-,-,transposase,20210308,-
273057,1454216,SSO_RS05860,SSO_RS05860,SSO1188,-,-,-,NAD(P)/FAD-dependent oxidoreductase,protein-coding,-,-,-,NAD(P)/FAD-dependent oxidoreductase,20210417,-
273057,1454217,SSO_RS05865,SSO_RS05865,SSO1189,-,-,-,amidohydrolase,protein-coding,-,-,-,amidohydrolase,20210308,-
273057,1454218,SSO_RS05870,SSO_RS05870,SSO1190,-,-,-,CHAD domain-containing protein,protein-coding,-,-,-,CHAD domain-containing protein,20210308,-
273057,1454219,SSO_RS05875,SSO_RS05875,SSO1191,-,-,-,thymidylate kinase,protein-coding,-,-,-,thymidylate kinase,20210417,-
273057,1454220,tmk,SSO_RS05880,SSO1192,-,-,-,dTMP kinase,protein-coding,-,-,-,dTMP kinase,20210417,-
273057,1454221,SSO_RS05885,SSO_RS05885,SSO1193,-,-,-,Ppx/GppA family phosphatase,protein-coding,-,-,-,Ppx/GppA family phosphatase,20210417,-
273057,1454222,sixA,SSO_RS05890,SSO1195,-,-,-,phosphohistidine phosphatase SixA,protein-coding,-,-,-,phosphohistidine phosphatase SixA,20210308,-
273057,1454224,SSO_RS05900,SSO_RS05900,SSO1197,-,-,-,pseudo,pseudo,-,-,-,-,20210308,-
273057,1454226,SSO_RS05905,SSO_RS05905,SSO1198,-,-,-,pseudo,pseudo,-,-,-,-,20210308,-
273057,1454227,SSO_RS05910,SSO_RS05910,SSO1200,-,-,-,IS630-like element ISC1048 family transposase,protein-coding,-,-,-,IS630-like element ISC1048 family transposase,20210308,-
273057,1454229,SSO_RS05920,SSO_RS05920,SSO1202,-,-,-,IS5-like element ISC1058 family transposase,protein-coding,-,-,-,IS5-like element ISC1058 family transposase,20210417,-
273057,1454231,SSO_RS05935,SSO_RS05935,SSO1204,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20210308,-
273057,1454232,SSO_RS05940,SSO_RS05940,SSO1206,-,-,-,3-methyl-2-oxobutanoate dehydrogenase subunit beta,protein-coding,-,-,-,3-methyl-2-oxobutanoate dehydrogenase subunit beta,20210417,-
273057,1454233,SSO_RS05945,SSO_RS05945,SSO1207,-,-,-,pyruvate ferredoxin oxidoreductase,protein-coding,-,-,-,pyruvate ferredoxin oxidoreductase,20210308,-
273057,1454234,SSO_RS05950,SSO_RS05950,SSO7412,-,-,-,4Fe-4S binding protein,protein-coding,-,-,-,4Fe-4S binding protein,20210308,-
273057,1454235,SSO_RS05955,SSO_RS05955,SSO1208,-,-,-,2-oxoacid:acceptor oxidoreductase family protein,protein-coding,-,-,-,2-oxoacid:acceptor oxidoreductase family protein,20210308,-
273057,1454236,SSO_RS05960,SSO_RS05960,SSO1209,-,-,-,xanthine dehydrogenase family protein molybdopterin-binding subunit,protein-coding,-,-,-,xanthine dehydrogenase family protein molybdopterin-binding subunit,20210308,-
273057,1454237,SSO_RS05965,SSO_RS05965,SSO1210,-,-,-,pseudo,pseudo,-,-,-,-,20210308,-
273057,1454238,SSO_RS05970,SSO_RS05970,SSO1212,-,-,-,IS5-like element ISC1058 family transposase,protein-coding,-,-,-,IS5-like element ISC1058 family transposase,20210417,-
273057,1454239,SSO_RS05975,SSO_RS05975,SSO1213,-,-,-,pseudo,pseudo,-,-,-,-,20210308,-
273057,1454240,SSO_RS05980,SSO_RS05980,SSO1214,-,-,-,carbonic anhydrase,protein-coding,-,-,-,carbonic anhydrase,20210308,-
273057,1454241,SSO_RS05985,SSO_RS05985,SSO1215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1454242,SSO_RS05990,SSO_RS05990,SSO1216,-,-,-,transposase,protein-coding,-,-,-,transposase,20210308,-
273057,1454243,SSO_RS05995,SSO_RS05995,SSO1217,-,-,-,IS607 family transposase,protein-coding,-,-,-,IS607 family transposase,20210308,-
273057,1454244,SSO_RS06000,SSO_RS06000,SSO1218,-,-,-,CoA-acylating methylmalonate-semialdehyde dehydrogenase,protein-coding,-,-,-,CoA-acylating methylmalonate-semialdehyde dehydrogenase,20210308,-
273057,1454245,SSO_RS06005,SSO_RS06005,SSO1219,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210308,-
273057,1454246,SSO_RS06010,SSO_RS06010,SSO1220,-,-,-,zinc-dependent alcohol dehydrogenase family protein,protein-coding,-,-,-,zinc-dependent alcohol dehydrogenase family protein,20210308,-
273057,1454247,SSO_RS06015,SSO_RS06015,SSO1221,-,-,-,acetoacetate decarboxylase family protein,protein-coding,-,-,-,acetoacetate decarboxylase family protein,20210308,-
273057,1454248,SSO_RS06020,SSO_RS06020,SSO1222,-,-,-,acetoacetate decarboxylase family protein,protein-coding,-,-,-,acetoacetate decarboxylase family protein,20210308,-
273057,1454249,SSO_RS06025,SSO_RS06025,SSO1223,-,-,-,"catechol 2,3-dioxygenase",protein-coding,-,-,-,"catechol 2,3-dioxygenase",20210417,-
273057,1454250,SSO_RS06030,SSO_RS06030,SSO1224,-,-,-,heme-binding protein,protein-coding,-,-,-,heme-binding protein,20210308,-
273057,1454251,SSO_RS06035,SSO_RS06035,SSO1225,-,-,-,NAD(P)/FAD-dependent oxidoreductase,protein-coding,-,-,-,NAD(P)/FAD-dependent oxidoreductase,20210308,-
273057,1454252,SSO_RS06040,SSO_RS06040,SSO1227,-,-,-,toluene-4-monooxygenase system protein A,protein-coding,-,-,-,toluene-4-monooxygenase system protein A,20210417,-
273057,1454253,SSO_RS06045,SSO_RS06045,SSO1228,-,-,-,YHS domain-containing protein,protein-coding,-,-,-,YHS domain-containing protein,20210417,-
273057,1454254,SSO_RS06050,SSO_RS06050,SSO1229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1454255,SSO_RS06055,SSO_RS06055,SSO1230,-,-,-,Rieske (2Fe-2S) protein,protein-coding,-,-,-,Rieske (2Fe-2S) protein,20210308,-
273057,1454256,SSO_RS06060,SSO_RS06060,SSO1231,-,-,-,MmoB/DmpM family protein,protein-coding,-,-,-,MmoB/DmpM family protein,20210417,-
