#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1094892,11256656,mg519,MegaChil _gp0519,-,-,-,-,putative DNA-directed RNA polymerase subunit,protein-coding,-,-,-,putative DNA-directed RNA polymerase subunit,20200629,-
1094892,11257044,mg813,MegaChil _gp0813,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257045,mg274,MegaChil _gp0274,-,-,-,-,putative bifunctional metalloprotease/ubiquitin-protein ligase,protein-coding,-,-,-,putative bifunctional metalloprotease/ubiquitin-protein ligase,20200629,-
1094892,11257046,mg728,MegaChil _gp0728,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257047,mg394,MegaChil _gp0394,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257048,mg948,MegaChil _gp0948,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257049,mg126,MegaChil _gp0126,-,-,-,-,putative KilA-N domain-containing protein,protein-coding,-,-,-,putative KilA-N domain-containing protein,20200629,-
1094892,11257050,mg28,MegaChil _gp0028,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257051,mg791,MegaChil _gp0791,-,-,-,-,putative fucosyltransferase,protein-coding,-,-,-,putative fucosyltransferase,20200629,-
1094892,11257052,mg790,MegaChil _gp0790,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257053,mg817,MegaChil _gp0817,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257054,mg976,MegaChil _gp0976,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257055,mg441,MegaChil _gp0441,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257056,mg94,MegaChil _gp0094,-,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20200629,-
1094892,11257057,mg777,MegaChil _gp0777,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257058,mg489,MegaChil _gp0489,-,-,-,-,putative alpha/beta hydrolase,protein-coding,-,-,-,putative alpha/beta hydrolase,20200629,-
1094892,11257059,mg821,MegaChil _gp0821,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257060,mg171,MegaChil _gp0171,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257061,mg144,MegaChil _gp0144,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257062,mg743,MegaChil _gp0743,-,-,-,-,asparaginyl-tRNA synthetase,protein-coding,-,-,-,asparaginyl-tRNA synthetase,20200629,-
1094892,11257063,mg34,MegaChil _gp0034,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257064,mg308,MegaChil _gp0308,-,-,-,-,RNA ligase 2,protein-coding,-,-,-,RNA ligase 2,20200629,-
1094892,11257065,mg1032,MegaChil _gp1032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257066,mg140,MegaChil _gp0140,-,-,-,-,putative metal-dependent phosphohydrolase HD domain protein,protein-coding,-,-,-,putative metal-dependent phosphohydrolase HD domain protein,20200629,-
1094892,11257067,mg839,MegaChil _gp0839,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257068,mg835,MegaChil _gp0835,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257069,mg336,MegaChil _gp0336,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257070,mg393,MegaChil _gp0393,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257071,mg322,MegaChil _gp0322,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20200629,-
1094892,11257072,mg901,MegaChil _gp0901,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257073,mg856,MegaChil _gp0856,-,-,-,-,exodeoxyribonuclease 7 large subunit,protein-coding,-,-,-,exodeoxyribonuclease 7 large subunit,20200629,-
1094892,11257074,mg35,MegaChil _gp0035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257075,mg235,MegaChil _gp0235,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257076,mg72,MegaChil _gp0072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257077,mg327,MegaChil _gp0327,-,-,-,-,putative procollagen-lysine 2-oxoglutarate 5-dioxygenase,protein-coding,-,-,-,putative procollagen-lysine 2-oxoglutarate 5-dioxygenase,20200629,-
1094892,11257078,mg460,MegaChil _gp0460,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257079,mg565,MegaChil _gp0565,-,-,-,-,putative cullin-like protein,protein-coding,-,-,-,putative cullin-like protein,20200629,-
1094892,11257080,mg717,MegaChil _gp0717,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257081,mg974,MegaChil _gp0974,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257082,mg860,MegaChil _gp0860,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257083,mg347,MegaChil _gp0347,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257084,mg1006,MegaChil _gp1006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257085,mg227,MegaChil _gp0227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257086,mg560,MegaChil _gp0560,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257087,mg284,MegaChil _gp0284,-,-,-,-,putative CfxQ-like protein,protein-coding,-,-,-,putative CfxQ-like protein,20200629,-
1094892,11257088,mg497,MegaChil _gp0497,-,-,-,-,putative ATP-dependent RNA helicase,protein-coding,-,-,-,putative ATP-dependent RNA helicase,20200629,-
1094892,11257089,mg607,MegaChil _gp0607,-,-,-,-,putative endo/excinuclease amino terminal domain protein,protein-coding,-,-,-,putative endo/excinuclease amino terminal domain protein,20200629,-
1094892,11257090,mg613,MegaChil _gp0613,-,-,-,-,putative ubiquitin carboxyl-terminal hydrolase,protein-coding,-,-,-,putative ubiquitin carboxyl-terminal hydrolase,20200629,-
1094892,11257091,mg481,MegaChil _gp0481,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257092,mg293,MegaChil _gp0293,-,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20200629,-
1094892,11257093,mg225,MegaChil _gp0225,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257094,mg117,MegaChil _gp0117,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257095,mg275,MegaChil _gp0275,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257096,mg621,MegaChil _gp0621,-,-,-,-,putative metallo-dependent phosphatase,protein-coding,-,-,-,putative metallo-dependent phosphatase,20200629,-
1094892,11257097,mg836,MegaChil _gp0836,-,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20200629,-
1094892,11257098,mg707,MegaChil _gp0707,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257099,mg1012,MegaChil _gp1012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257100,mg562,MegaChil _gp0562,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257101,mg1030,MegaChil _gp1030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257102,mg867,MegaChil _gp0867,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257103,mg750,MegaChil _gp0750,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257104,mg808,MegaChil _gp0808,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257105,mg131,MegaChil _gp0131,-,-,-,-,endonuclease V,protein-coding,-,-,-,endonuclease V,20200629,-
1094892,11257106,mg972,MegaChil _gp0972,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257107,mg601,MegaChil _gp0601,-,-,-,-,putative protein phosphatase 2c,protein-coding,-,-,-,putative protein phosphatase 2c,20200629,-
1094892,11257108,mg1021,MegaChil _gp1021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257109,mg496,MegaChil _gp0496,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257110,mg388,MegaChil _gp0388,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257111,mg1037,MegaChil _gp1037,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20200629,-
1094892,11257112,mg644,MegaChil _gp0644,-,-,-,-,putative alpha/beta hydrolase,protein-coding,-,-,-,putative alpha/beta hydrolase,20200629,-
1094892,11257113,mg505,MegaChil _gp0505,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257114,mg251,MegaChil _gp0251,-,-,-,-,putative serpin-like protein,protein-coding,-,-,-,putative serpin-like protein,20200629,-
1094892,11257115,mg32,MegaChil _gp0032,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257116,mg531,MegaChil _gp0531,-,-,-,-,putative BTB/POZ domain and WD-repeat protein,protein-coding,-,-,-,putative BTB/POZ domain and WD-repeat protein,20200629,-
1094892,11257117,mg424,MegaChil _gp0424,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257118,mg360,MegaChil _gp0360,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257119,mg70,MegaChil _gp0070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257120,mg435,MegaChil _gp0435,-,-,-,-,TATA-box-binding protein-like protein,protein-coding,-,-,-,TATA-box-binding protein-like protein,20200629,-
1094892,11257121,mg267,MegaChil _gp0267,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257122,mg119,MegaChil _gp0119,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257123,mg1048,MegaChil _gp1048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257124,mg557,MegaChil _gp0557,-,-,-,-,putative regulator of chromosome condensation,protein-coding,-,-,-,putative regulator of chromosome condensation,20200629,-
1094892,11257125,mg960,MegaChil _gp0960,-,-,-,-,putative F-box protein,protein-coding,-,-,-,putative F-box protein,20200629,-
1094892,11257126,mg806,MegaChil _gp0806,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257127,mg544,MegaChil _gp0544,-,-,-,-,putative DNA-directed RNA polymerase II subunit n,protein-coding,-,-,-,putative DNA-directed RNA polymerase II subunit n,20200629,-
1094892,11257128,mg1103,MegaChil _gp1103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257129,mg686,MegaChil _gp0686,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257130,mg103,MegaChil _gp0103,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257131,mg196,MegaChil _gp0196,-,-,-,-,nudix hydrolase domain containing protein,protein-coding,-,-,-,nudix hydrolase domain containing protein,20200629,-
1094892,11257132,mg1117,MegaChil _gp1117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257133,mg548,MegaChil _gp0548,-,-,-,-,putative thiol protease,protein-coding,-,-,-,putative thiol protease,20200629,-
1094892,11257134,mg1119,MegaChil _gp1119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257135,mg40,MegaChil _gp0040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257136,mg42,MegaChil _gp0042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257137,mg788,MegaChil _gp0788,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257138,mg1075,MegaChil _gp1075,-,-,-,-,putative BTB/POZ domain and WD-repeat protein,protein-coding,-,-,-,putative BTB/POZ domain and WD-repeat protein,20200629,-
1094892,11257139,mg127,MegaChil _gp0127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257140,mg165,MegaChil _gp0165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257141,mg625,MegaChil _gp0625,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257142,mg500,MegaChil _gp0500,-,-,-,-,heat shock 70 kDa protein-like protein,protein-coding,-,-,-,heat shock 70 kDa protein-like protein,20200629,-
1094892,11257143,mg443,MegaChil _gp0443,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257144,mg529,MegaChil _gp0529,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257145,mg564,MegaChil _gp0564,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257146,mg451,MegaChil _gp0451,-,-,-,-,putative TLC domain-containing protein,protein-coding,-,-,-,putative TLC domain-containing protein,20200629,-
1094892,11257147,mg737,MegaChil _gp0737,-,-,-,-,glycosyltransferase family protein,protein-coding,-,-,-,glycosyltransferase family protein,20200629,-
1094892,11257148,mg279,MegaChil _gp0279,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257149,mg45,MegaChil _gp0045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257150,mg679,MegaChil _gp0679,-,-,-,-,putative HTH-type transcriptional regulator,protein-coding,-,-,-,putative HTH-type transcriptional regulator,20200629,-
1094892,11257151,mg680,MegaChil _gp0680,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200629,-
1094892,11257152,mg645,MegaChil _gp0645,-,-,-,-,putative 5'-3' exonuclease 20,protein-coding,-,-,-,putative 5'-3' exonuclease 20,20200629,-
1094892,11257153,mg407,MegaChil _gp0407,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257154,trnL1,MegaChil _gt0002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1094892,11257155,mg172,MegaChil _gp0172,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257156,mg958,MegaChil _gp0958,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257157,mg1015,MegaChil _gp1015,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257158,mg55,MegaChil _gp0055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257159,mg1038,MegaChil _gp1038,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257160,mg175,MegaChil _gp0175,-,-,-,-,putative virion-associated membrane protein,protein-coding,-,-,-,putative virion-associated membrane protein,20200629,-
1094892,11257161,mg74,MegaChil _gp0074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257162,mg768,MegaChil _gp0768,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257163,mg872,MegaChil _gp0872,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257164,mg532,MegaChil _gp0532,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257165,mg343,MegaChil _gp0343,-,-,-,-,putative uracil-DNA glycosylase,protein-coding,-,-,-,putative uracil-DNA glycosylase,20200629,-
1094892,11257166,mg149,MegaChil _gp0149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257167,mg855,MegaChil _gp0855,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257168,mg58,MegaChil _gp0058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257169,mg384,MegaChil _gp0384,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257170,mg630,MegaChil _gp0630,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257171,mg90,MegaChil _gp0090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257172,mg414,MegaChil _gp0414,-,-,-,-,putative DNA directed RNA polymerase subunit,protein-coding,-,-,-,putative DNA directed RNA polymerase subunit,20200629,-
1094892,11257173,mg412,MegaChil _gp0412,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257174,mg59,MegaChil _gp0059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257175,mg255,MegaChil _gp0255,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257176,mg582,MegaChil _gp0582,-,-,-,-,intein-containing DNA polymerase,protein-coding,-,-,-,intein-containing DNA polymerase,20200629,-
1094892,11257177,mg1039,MegaChil _gp1039,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257178,mg863,MegaChil _gp0863,-,-,-,-,endotype 6-aminohexanoat-oligomer hydrolase,protein-coding,-,-,-,endotype 6-aminohexanoat-oligomer hydrolase,20200629,-
1094892,11257179,mg113,MegaChil _gp0113,-,-,-,-,putative cdc123-like protein,protein-coding,-,-,-,putative cdc123-like protein,20200629,-
1094892,11257180,mg108,MegaChil _gp0108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257181,mg449,MegaChil _gp0449,-,-,-,-,putative capsid protein 3,protein-coding,-,-,-,putative capsid protein 3,20200629,-
1094892,11257182,mg180,MegaChil _gp0180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257183,mg555,MegaChil _gp0555,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257184,mg147,MegaChil _gp0147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257185,mg191,MegaChil _gp0191,-,-,-,-,macro domain containing protein,protein-coding,-,-,-,macro domain containing protein,20200629,-
1094892,11257186,mg513,MegaChil _gp0513,-,-,-,-,putative phospholipase D/nuclease,protein-coding,-,-,-,putative phospholipase D/nuclease,20200629,-
1094892,11257187,mg468,MegaChil _gp0468,-,-,-,-,robin,protein-coding,-,-,-,robin,20200629,-
1094892,11257188,mg516,MegaChil _gp0516,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257189,mg852,MegaChil _gp0852,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257190,mg206,MegaChil _gp0206,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257191,mg439,MegaChil _gp0439,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257192,mg563,MegaChil _gp0563,-,-,-,-,transcription factor S-II-related protein,protein-coding,-,-,-,transcription factor S-II-related protein,20200629,-
1094892,11257193,mg405,MegaChil _gp0405,-,-,-,-,putative replication factor C small subunit,protein-coding,-,-,-,putative replication factor C small subunit,20200629,-
1094892,11257194,mg558,MegaChil _gp0558,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20200629,-
1094892,11257195,mg12,MegaChil _gp0012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257196,mg969,MegaChil _gp0969,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257197,mg723,MegaChil _gp0723,-,-,-,-,structural ppiase-like protein,protein-coding,-,-,-,structural ppiase-like protein,20200629,-
1094892,11257198,mg953,MegaChil _gp0953,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257199,mg774,MegaChil _gp0774,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257200,mg549,MegaChil _gp0549,-,-,-,-,putative phage-type endonuclease,protein-coding,-,-,-,putative phage-type endonuclease,20200629,-
1094892,11257201,mg1065,MegaChil _gp1065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257202,mg991,MegaChil _gp0991,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257203,mg792,MegaChil _gp0792,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257204,mg617,MegaChil _gp0617,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257205,mg210,MegaChil _gp0210,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257206,mg417,MegaChil _gp0417,-,-,-,-,uridine kinase,protein-coding,-,-,-,uridine kinase,20200629,-
1094892,11257207,mg705,MegaChil _gp0705,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257208,mg148,MegaChil _gp0148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257209,mg473,MegaChil _gp0473,-,-,-,-,nucleoside diphosphate kinase,protein-coding,-,-,-,nucleoside diphosphate kinase,20200629,-
1094892,11257210,mg359,MegaChil _gp0359,-,-,-,-,DnaJ-like protein,protein-coding,-,-,-,DnaJ-like protein,20200629,-
1094892,11257211,mg702,MegaChil _gp0702,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257212,mg184,MegaChil _gp0184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257213,mg256,MegaChil _gp0256,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257214,mg700,MegaChil _gp0700,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257215,mg784,MegaChil _gp0784,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257216,mg370,MegaChil _gp0370,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257217,mg866,MegaChil _gp0866,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257218,mg876,MegaChil _gp0876,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257219,mg22,MegaChil _gp0022,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257220,mg785,MegaChil _gp0785,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257221,mg176,MegaChil _gp0176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257222,mg862,MegaChil _gp0862,-,-,-,-,vacuolar sorting protein,protein-coding,-,-,-,vacuolar sorting protein,20200629,-
1094892,11257223,mg1014,MegaChil _gp1014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257224,mg25,MegaChil _gp0025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257225,mg153,MegaChil _gp0153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257226,mg930,MegaChil _gp0930,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257227,trnL2,MegaChil _gt0001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1094892,11257228,mg321,MegaChil _gp0321,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257229,mg619,MegaChil _gp0619,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257230,mg1064,MegaChil _gp1064,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257231,mg840,MegaChil _gp0840,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257232,mg273,MegaChil _gp0273,-,-,-,-,putative chemotaxis protein CheD,protein-coding,-,-,-,putative chemotaxis protein CheD,20200629,-
1094892,11257233,mg295,MegaChil _gp0295,-,-,-,-,putative cytidine deaminase,protein-coding,-,-,-,putative cytidine deaminase,20200629,-
1094892,11257234,mg222,MegaChil _gp0222,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257235,mg699,MegaChil _gp0699,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257236,mg539,MegaChil _gp0539,-,-,-,-,putative glycosyltransferase,protein-coding,-,-,-,putative glycosyltransferase,20200629,-
