#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1904413,64638734,DEU56DRAFT_10000,DEU56DRAFT_10000,-,-,Unknown,-,BET3 family protein,protein-coding,-,-,-,BET3 family protein,20210605,-
1904413,64647105,DEU56DRAFT_797044,DEU56DRAFT_797044,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647106,DEU56DRAFT_797095,DEU56DRAFT_797095,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647107,DEU56DRAFT_797117,DEU56DRAFT_797117,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647108,DEU56DRAFT_797132,DEU56DRAFT_797132,-,-,Unknown,-,NGG1p interacting factor 3,protein-coding,-,-,-,NGG1p interacting factor 3,20210605,-
1904413,64647109,DEU56DRAFT_797135,DEU56DRAFT_797135,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647110,DEU56DRAFT_797137,DEU56DRAFT_797137,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647111,DEU56DRAFT_797140,DEU56DRAFT_797140,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647112,DEU56DRAFT_797163,DEU56DRAFT_797163,-,-,Unknown,-,mannose-6-phosphate receptor binding domain-containing protein,protein-coding,-,-,-,mannose-6-phosphate receptor binding domain-containing protein,20210605,-
1904413,64647113,DEU56DRAFT_797208,DEU56DRAFT_797208,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647114,DEU56DRAFT_797292,DEU56DRAFT_797292,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647115,DEU56DRAFT_797299,DEU56DRAFT_797299,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20210605,-
1904413,64647116,DEU56DRAFT_797307,DEU56DRAFT_797307,-,-,Unknown,-,fungal-specific transcription factor domain-containing protein,protein-coding,-,-,-,fungal-specific transcription factor domain-containing protein,20210605,-
1904413,64647117,DEU56DRAFT_797316,DEU56DRAFT_797316,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647118,DEU56DRAFT_79738,DEU56DRAFT_79738,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647119,DEU56DRAFT_797388,DEU56DRAFT_797388,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647120,DEU56DRAFT_797411,DEU56DRAFT_797411,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647121,DEU56DRAFT_797431,DEU56DRAFT_797431,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647122,DEU56DRAFT_797443,DEU56DRAFT_797443,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647123,DEU56DRAFT_797472,DEU56DRAFT_797472,-,-,Unknown,-,hydrophobin,protein-coding,-,-,-,hydrophobin,20210605,-
1904413,64647124,DEU56DRAFT_797490,DEU56DRAFT_797490,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647125,DEU56DRAFT_797499,DEU56DRAFT_797499,-,-,Unknown,-,fungal hydrophobin,protein-coding,-,-,-,fungal hydrophobin,20210605,-
1904413,64647126,DEU56DRAFT_797501,DEU56DRAFT_797501,-,-,Unknown,-,ribosomal protein S8,protein-coding,-,-,-,ribosomal protein S8,20210605,-
1904413,64647127,DEU56DRAFT_797527,DEU56DRAFT_797527,-,-,Unknown,-,MATE efflux family protein,protein-coding,-,-,-,MATE efflux family protein,20210605,-
1904413,64647128,DEU56DRAFT_797543,DEU56DRAFT_797543,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647129,DEU56DRAFT_797576,DEU56DRAFT_797576,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647130,DEU56DRAFT_797597,DEU56DRAFT_797597,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647131,DEU56DRAFT_797634,DEU56DRAFT_797634,-,-,Unknown,-,glycoside hydrolase family 3 protein,protein-coding,-,-,-,glycoside hydrolase family 3 protein,20210605,-
1904413,64647132,DEU56DRAFT_797646,DEU56DRAFT_797646,-,-,Unknown,-,glycoside hydrolase family 3 protein,protein-coding,-,-,-,glycoside hydrolase family 3 protein,20210605,-
1904413,64647133,DEU56DRAFT_797666,DEU56DRAFT_797666,-,-,Unknown,-,kinase-like protein,protein-coding,-,-,-,kinase-like protein,20210605,-
1904413,64647134,DEU56DRAFT_797686,DEU56DRAFT_797686,-,-,Unknown,-,UPF0057-domain-containing protein,protein-coding,-,-,-,UPF0057-domain-containing protein,20210605,-
1904413,64647135,DEU56DRAFT_797697,DEU56DRAFT_797697,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647136,DEU56DRAFT_797764,DEU56DRAFT_797764,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647137,DEU56DRAFT_797792,DEU56DRAFT_797792,-,-,Unknown,-,amidase signature enzyme,protein-coding,-,-,-,amidase signature enzyme,20210605,-
1904413,64647138,DEU56DRAFT_797807,DEU56DRAFT_797807,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647139,DEU56DRAFT_797813,DEU56DRAFT_797813,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647140,DEU56DRAFT_797836,DEU56DRAFT_797836,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647141,DEU56DRAFT_797885,DEU56DRAFT_797885,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647142,DEU56DRAFT_797899,DEU56DRAFT_797899,-,-,Unknown,-,Mob1/phocein,protein-coding,-,-,-,Mob1/phocein,20210605,-
1904413,64647143,DEU56DRAFT_797911,DEU56DRAFT_797911,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647144,DEU56DRAFT_797924,DEU56DRAFT_797924,-,-,Unknown,-,kinase-like protein,protein-coding,-,-,-,kinase-like protein,20210605,-
1904413,64647145,DEU56DRAFT_797943,DEU56DRAFT_797943,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647146,DEU56DRAFT_797944,DEU56DRAFT_797944,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647147,DEU56DRAFT_797974,DEU56DRAFT_797974,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647148,DEU56DRAFT_798035,DEU56DRAFT_798035,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647149,DEU56DRAFT_798069,DEU56DRAFT_798069,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647150,DEU56DRAFT_798079,DEU56DRAFT_798079,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647151,DEU56DRAFT_798081,DEU56DRAFT_798081,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647152,DEU56DRAFT_798132,DEU56DRAFT_798132,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20210605,-
1904413,64647153,DEU56DRAFT_798144,DEU56DRAFT_798144,-,-,Unknown,-,flavin-containing amine oxidoreductase-domain containing protein,protein-coding,-,-,-,flavin-containing amine oxidoreductase-domain containing protein,20210605,-
1904413,64647154,DEU56DRAFT_798166,DEU56DRAFT_798166,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647155,DEU56DRAFT_798174,DEU56DRAFT_798174,-,-,Unknown,-,"transcription initiation factor IIA, gamma subunit, helical domain-containing protein",protein-coding,-,-,-,"transcription initiation factor IIA, gamma subunit, helical domain-containing protein",20210605,-
1904413,64647156,DEU56DRAFT_798193,DEU56DRAFT_798193,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647157,DEU56DRAFT_798203,DEU56DRAFT_798203,-,-,Unknown,-,JAB1/Mov34/MPN/PAD-1 ubiquitin protease-domain-containing protein,protein-coding,-,-,-,JAB1/Mov34/MPN/PAD-1 ubiquitin protease-domain-containing protein,20210605,-
1904413,64647158,DEU56DRAFT_798227,DEU56DRAFT_798227,-,-,Unknown,-,putative cyclophilin,protein-coding,-,-,-,putative cyclophilin,20210605,-
1904413,64647159,DEU56DRAFT_798237,DEU56DRAFT_798237,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647160,DEU56DRAFT_798244,DEU56DRAFT_798244,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647161,DEU56DRAFT_798251,DEU56DRAFT_798251,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647162,DEU56DRAFT_798284,DEU56DRAFT_798284,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647163,DEU56DRAFT_798286,DEU56DRAFT_798286,-,-,Unknown,-,amidase signature domain-containing protein,protein-coding,-,-,-,amidase signature domain-containing protein,20210605,-
1904413,64647164,DEU56DRAFT_798316,DEU56DRAFT_798316,-,-,Unknown,-,concanavalin A-like lectin/glucanase domain-containing protein,protein-coding,-,-,-,concanavalin A-like lectin/glucanase domain-containing protein,20210605,-
1904413,64647165,DEU56DRAFT_798322,DEU56DRAFT_798322,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647166,DEU56DRAFT_798329,DEU56DRAFT_798329,-,-,Unknown,-,SNF2 family N-terminal domain-containing protein,protein-coding,-,-,-,SNF2 family N-terminal domain-containing protein,20210605,-
1904413,64647167,DEU56DRAFT_798339,DEU56DRAFT_798339,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647168,DEU56DRAFT_798361,DEU56DRAFT_798361,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647169,DEU56DRAFT_798364,DEU56DRAFT_798364,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647170,DEU56DRAFT_798372,DEU56DRAFT_798372,-,-,Unknown,-,actin actin-like protein,protein-coding,-,-,-,actin actin-like protein,20210605,-
1904413,64647171,DEU56DRAFT_798374,DEU56DRAFT_798374,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647172,DEU56DRAFT_798383,DEU56DRAFT_798383,-,-,Unknown,-,acyl-CoA dehydrogenase/oxidase,protein-coding,-,-,-,acyl-CoA dehydrogenase/oxidase,20210605,-
1904413,64647173,DEU56DRAFT_798385,DEU56DRAFT_798385,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647174,DEU56DRAFT_798400,DEU56DRAFT_798400,-,-,Unknown,-,glycoside hydrolase family 79 protein,protein-coding,-,-,-,glycoside hydrolase family 79 protein,20210605,-
1904413,64647175,DEU56DRAFT_798404,DEU56DRAFT_798404,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647176,DEU56DRAFT_798440,DEU56DRAFT_798440,-,-,Unknown,-,peroxisomal hydratase-dehydrogenase-epimerase,protein-coding,-,-,-,peroxisomal hydratase-dehydrogenase-epimerase,20210605,-
1904413,64647177,DEU56DRAFT_798447,DEU56DRAFT_798447,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647178,DEU56DRAFT_798533,DEU56DRAFT_798533,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647179,DEU56DRAFT_798548,DEU56DRAFT_798548,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647180,DEU56DRAFT_798552,DEU56DRAFT_798552,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647181,DEU56DRAFT_798567,DEU56DRAFT_798567,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647182,DEU56DRAFT_798578,DEU56DRAFT_798578,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647183,DEU56DRAFT_798600,DEU56DRAFT_798600,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647184,DEU56DRAFT_798627,DEU56DRAFT_798627,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647185,DEU56DRAFT_798632,DEU56DRAFT_798632,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647186,DEU56DRAFT_798671,DEU56DRAFT_798671,-,-,Unknown,-,60S ribosomal protein L17/L23,protein-coding,-,-,-,60S ribosomal protein L17/L23,20210605,-
1904413,64647187,DEU56DRAFT_798683,DEU56DRAFT_798683,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647188,DEU56DRAFT_798689,DEU56DRAFT_798689,-,-,Unknown,-,thiamine pyrophosphokinase,protein-coding,-,-,-,thiamine pyrophosphokinase,20210605,-
1904413,64647189,DEU56DRAFT_798691,DEU56DRAFT_798691,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647190,DEU56DRAFT_798694,DEU56DRAFT_798694,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647191,DEU56DRAFT_798717,DEU56DRAFT_798717,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647192,DEU56DRAFT_798792,DEU56DRAFT_798792,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647193,DEU56DRAFT_798806,DEU56DRAFT_798806,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647194,DEU56DRAFT_798886,DEU56DRAFT_798886,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647195,DEU56DRAFT_798890,DEU56DRAFT_798890,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647196,DEU56DRAFT_798894,DEU56DRAFT_798894,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647197,DEU56DRAFT_798939,DEU56DRAFT_798939,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647198,DEU56DRAFT_798976,DEU56DRAFT_798976,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647199,DEU56DRAFT_798978,DEU56DRAFT_798978,-,-,Unknown,-,mitochondrial carrier domain-containing protein,protein-coding,-,-,-,mitochondrial carrier domain-containing protein,20210605,-
1904413,64647200,DEU56DRAFT_799059,DEU56DRAFT_799059,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647201,DEU56DRAFT_79907,DEU56DRAFT_79907,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647202,DEU56DRAFT_799192,DEU56DRAFT_799192,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647203,DEU56DRAFT_799199,DEU56DRAFT_799199,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647204,DEU56DRAFT_799289,DEU56DRAFT_799289,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647205,DEU56DRAFT_799302,DEU56DRAFT_799302,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210605,-
1904413,64647206,DEU56DRAFT_799315,DEU56DRAFT_799315,-,-,Unknown,-,kinase-like protein,protein-coding,-,-,-,kinase-like protein,20210605,-
1904413,64647207,DEU56DRAFT_799318,DEU56DRAFT_799318,-,-,Unknown,-,RecF/RecN/SMC N terminal domain-containing protein,protein-coding,-,-,-,RecF/RecN/SMC N terminal domain-containing protein,20210605,-
1904413,64647208,DEU56DRAFT_799320,DEU56DRAFT_799320,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647209,DEU56DRAFT_799334,DEU56DRAFT_799334,-,-,Unknown,-,60S ribosomal protein L19,protein-coding,-,-,-,60S ribosomal protein L19,20210605,-
1904413,64647210,DEU56DRAFT_799338,DEU56DRAFT_799338,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647211,DEU56DRAFT_799342,DEU56DRAFT_799342,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647212,DEU56DRAFT_799405,DEU56DRAFT_799405,-,-,Unknown,-,"DNA-directed RNA polymerase II, subunit 1",protein-coding,-,-,-,"DNA-directed RNA polymerase II, subunit 1",20210605,-
1904413,64647213,DEU56DRAFT_799448,DEU56DRAFT_799448,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647214,DEU56DRAFT_799606,DEU56DRAFT_799606,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647215,DEU56DRAFT_799650,DEU56DRAFT_799650,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647216,DEU56DRAFT_799696,DEU56DRAFT_799696,-,-,Unknown,-,cyclin-like protein,protein-coding,-,-,-,cyclin-like protein,20210605,-
1904413,64647217,DEU56DRAFT_799713,DEU56DRAFT_799713,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647218,DEU56DRAFT_799733,DEU56DRAFT_799733,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647219,DEU56DRAFT_799750,DEU56DRAFT_799750,-,-,Unknown,-,Alpha/Beta hydrolase protein,protein-coding,-,-,-,Alpha/Beta hydrolase protein,20210605,-
1904413,64647220,DEU56DRAFT_799755,DEU56DRAFT_799755,-,-,Unknown,-,6-O-methylguanine DNA methyltransferase,protein-coding,-,-,-,6-O-methylguanine DNA methyltransferase,20210605,-
1904413,64647221,DEU56DRAFT_799760,DEU56DRAFT_799760,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647222,DEU56DRAFT_799800,DEU56DRAFT_799800,-,-,Unknown,-,chaperonin Cpn60/TCP-1 family,protein-coding,-,-,-,chaperonin Cpn60/TCP-1 family,20210605,-
1904413,64647223,DEU56DRAFT_799801,DEU56DRAFT_799801,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647224,DEU56DRAFT_799808,DEU56DRAFT_799808,-,-,Unknown,-,uracil phosphoribosyltransferase-domain-containing protein,protein-coding,-,-,-,uracil phosphoribosyltransferase-domain-containing protein,20210605,-
1904413,64647225,DEU56DRAFT_799821,DEU56DRAFT_799821,-,-,Unknown,-,Alpha/beta knot methyltransferase,protein-coding,-,-,-,Alpha/beta knot methyltransferase,20210605,-
1904413,64647226,DEU56DRAFT_799830,DEU56DRAFT_799830,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1904413,64647227,DEU56DRAFT_799846,DEU56DRAFT_799846,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647228,DEU56DRAFT_799860,DEU56DRAFT_799860,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1904413,64647229,DEU56DRAFT_799903,DEU56DRAFT_799903,-,-,Unknown,-,actin 2,protein-coding,-,-,-,actin 2,20210605,-
1904413,64647230,DEU56DRAFT_799912,DEU56DRAFT_799912,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647231,DEU56DRAFT_799946,DEU56DRAFT_799946,-,-,Unknown,-,DNA/pantothenate metabolism flavoprotein,protein-coding,-,-,-,DNA/pantothenate metabolism flavoprotein,20210605,-
1904413,64647232,DEU56DRAFT_799960,DEU56DRAFT_799960,-,-,Unknown,-,actin family,protein-coding,-,-,-,actin family,20210605,-
1904413,64647233,DEU56DRAFT_799962,DEU56DRAFT_799962,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647234,DEU56DRAFT_799974,DEU56DRAFT_799974,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647235,DEU56DRAFT_800010,DEU56DRAFT_800010,-,-,Unknown,-,alpha beta-hydrolase,protein-coding,-,-,-,alpha beta-hydrolase,20210605,-
1904413,64647236,DEU56DRAFT_800025,DEU56DRAFT_800025,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647237,DEU56DRAFT_800065,DEU56DRAFT_800065,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647238,DEU56DRAFT_800068,DEU56DRAFT_800068,-,-,Unknown,-,thioredoxin-like protein,protein-coding,-,-,-,thioredoxin-like protein,20210605,-
1904413,64647239,DEU56DRAFT_800074,DEU56DRAFT_800074,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647240,DEU56DRAFT_800076,DEU56DRAFT_800076,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647241,DEU56DRAFT_800082,DEU56DRAFT_800082,-,-,Unknown,-,Pre-rRNA-processing protein TSR2-domain-containing protein,protein-coding,-,-,-,Pre-rRNA-processing protein TSR2-domain-containing protein,20210605,-
1904413,64647242,DEU56DRAFT_800101,DEU56DRAFT_800101,-,-,Unknown,-,eukaryotic translation initiation factor 3 subunit G-domain-containing protein,protein-coding,-,-,-,eukaryotic translation initiation factor 3 subunit G-domain-containing protein,20210605,-
1904413,64647243,DEU56DRAFT_800106,DEU56DRAFT_800106,-,-,Unknown,-,60S acidic ribosomal protein P1,protein-coding,-,-,-,60S acidic ribosomal protein P1,20210605,-
1904413,64647244,DEU56DRAFT_800109,DEU56DRAFT_800109,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647245,DEU56DRAFT_800117,DEU56DRAFT_800117,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647246,DEU56DRAFT_800118,DEU56DRAFT_800118,-,-,Unknown,-,guanine nucleotide exchange factor,protein-coding,-,-,-,guanine nucleotide exchange factor,20210605,-
1904413,64647247,DEU56DRAFT_800125,DEU56DRAFT_800125,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647248,DEU56DRAFT_800175,DEU56DRAFT_800175,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647249,DEU56DRAFT_800185,DEU56DRAFT_800185,-,-,Unknown,-,NADP-dependent oxidoreductase domain-containing protein,protein-coding,-,-,-,NADP-dependent oxidoreductase domain-containing protein,20210605,-
1904413,64647250,DEU56DRAFT_800192,DEU56DRAFT_800192,-,-,Unknown,-,chitin synthase III catalytic subunit,protein-coding,-,-,-,chitin synthase III catalytic subunit,20210605,-
1904413,64647251,DEU56DRAFT_800207,DEU56DRAFT_800207,-,-,Unknown,-,S-adenosyl-L-methionine-dependent methyltransferase,protein-coding,-,-,-,S-adenosyl-L-methionine-dependent methyltransferase,20210605,-
1904413,64647252,DEU56DRAFT_800211,DEU56DRAFT_800211,-,-,Unknown,-,Golgi phosphoprotein 3-domain-containing protein,protein-coding,-,-,-,Golgi phosphoprotein 3-domain-containing protein,20210605,-
1904413,64647253,DEU56DRAFT_800256,DEU56DRAFT_800256,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647254,DEU56DRAFT_800281,DEU56DRAFT_800281,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647255,DEU56DRAFT_800322,DEU56DRAFT_800322,-,-,Unknown,-,Cullin repeat-like-containing domain protein,protein-coding,-,-,-,Cullin repeat-like-containing domain protein,20210605,-
1904413,64647256,DEU56DRAFT_800325,DEU56DRAFT_800325,-,-,Unknown,-,heat shock cognate 70,protein-coding,-,-,-,heat shock cognate 70,20210605,-
1904413,64647257,DEU56DRAFT_800336,DEU56DRAFT_800336,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647258,DEU56DRAFT_800340,DEU56DRAFT_800340,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647259,DEU56DRAFT_800385,DEU56DRAFT_800385,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647260,DEU56DRAFT_800398,DEU56DRAFT_800398,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64647261,DEU56DRAFT_800405,DEU56DRAFT_800405,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647262,DEU56DRAFT_800407,DEU56DRAFT_800407,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64647263,DEU56DRAFT_800410,DEU56DRAFT_800410,-,-,Unknown,-,DNA mismatch repair protein,protein-coding,-,-,-,DNA mismatch repair protein,20210605,-
1904413,64647264,DEU56DRAFT_800449,DEU56DRAFT_800449,-,-,Unknown,-,exocyst complex component Sec5-domain-containing protein,protein-coding,-,-,-,exocyst complex component Sec5-domain-containing protein,20210605,-
